"";"Occurrence";"Title";"Date.of.occurrence";"Occurrence.type";"Location.name";"Country";"Report.Type";"Railway.System.type";"Location.type";"Line.type";"Total.fatalities";"Passenger.fatalities";"LC.User.fatalities";"Other.fatalities";"Total.serious.injuries";"Passenger.serious.injuries";"LC.User.serious.injuries";"Unauth..person.serious.injuries";"Other.serious.injuries";"Recs";"Reporting.Body"
"28";"AT-1104";"Trains collision, 2009-09-19, ÖBB-Strecke 10501 zwischen Semmering - Breitenstein. (Austria)";"19/09/2009";"Trains collision";"ÖBB-Strecke 10501 zwischen Semmering - Breitenstein.";"Austria";"Final report";"Railway";"Line";"Double track";0;0;0;0;0;0;0;0;0;14;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"29";"AT-1105";"Trains collision with an obstacle, 28/01/2010, ÖBB-Strecke 13001 zwischen Pottenbrunn und Bf Linz Kleinmünchen, zwischen Bf Amstetten und Bf St. Peter-Seitenstetten. // ÖBB-Line 13001 between Pottenbrunn and station Linz Kleinmünchen, between station Amstetten and station St. Peter-Seitenstetten (Austria)";"28/01/2010";"Trains collision with an obstacle";"ÖBB-Strecke 13001 zwischen Pottenbrunn und Bf Linz Kleinmünchen, zwischen Bf Amstetten und Bf St. Peter-Seitenstetten. // ÖBB-Line 13001 between Pottenbrunn and station Linz Kleinmünchen, between station Amstetten and station St. Peter-Seitenstetten";"Austria";"Final report";"Railway";"Line";"";0;0;0;0;0;0;0;0;0;4;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"30";"AT-1106";"Trains collision with an obstacle, 15/02/2010, ÖBB-Strecke 13001 zwischen Pottenbrunn und Bf Linz Kleinmünchen, im Sittenbergtunnel. // ÖBB-Line 13001 between Pottenbrunn and station Linz Kleinmünchen, in tunnel ""Sittenberg"" (Austria)";"15/02/2010";"Trains collision with an obstacle";"ÖBB-Strecke 13001 zwischen Pottenbrunn und Bf Linz Kleinmünchen, im Sittenbergtunnel. // ÖBB-Line 13001 between Pottenbrunn and station Linz Kleinmünchen, in tunnel ""Sittenberg""";"Austria";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;2;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"31";"AT-1107";"Train derailment, 16/06/2010, ÖBB-Strecke 10105 von Innsbruck Hbf nach Staatsgrenze nächst Lochau-Hörbranz (Lindau - DE), zwischen Bf Hintergasse und Bf Braz. // ÖBB-Line 10105 between station Innsbruck Hbf and boarder near Lochau-Hörbranz (Lindau - DE), between station Hintergasse an (Austria)";"16/06/2010";"Train derailment";"ÖBB-Strecke 10105 von Innsbruck Hbf nach Staatsgrenze nächst Lochau-Hörbranz (Lindau - DE), zwischen Bf Hintergasse und Bf Braz. // ÖBB-Line 10105 between station Innsbruck Hbf and boarder near Lochau-Hörbranz (Lindau - DE), between station Hintergasse an";"Austria";"Final report";"Railway";"Line";"";0;0;0;0;1;0;0;0;0;4;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"32";"AT-1114";"Accident to persons caused by RS in motion, 07/05/2010, Wiener Linien, Linie U3 von Bf Ottakring nach Bf Simmering, Station Enkplatz. Wiener Linien, Underground-Line U3 from station Ottakring to station Simmering, in station Enkplatz. (Austria)";"07/05/2010";"Accident to persons caused by RS in motion";"Wiener Linien, Linie U3 von Bf Ottakring nach Bf Simmering, Station Enkplatz. Wiener Linien, Underground-Line U3 from station Ottakring to station Simmering, in station Enkplatz.";"Austria";"Final report";"Metro";"Station";"";0;0;0;0;1;1;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"33";"AT-1115";"Broken wheels or axles, 09/12/2010, ÖBB-Strecke 11601 von Wien Südbf (Ost) nach Bf Laa an der Thaya, zwischen Bf Süssenbrunn und Bf Stadlau. // ÖBB-Line 11601 from station Wien Südbf (Ost) to station Laa an der Thaya, between station Süssenbrunn and station Stadlau. (Austria)";"09/12/2010";"Broken wheels or axles";"ÖBB-Strecke 11601 von Wien Südbf (Ost) nach Bf Laa an der Thaya, zwischen Bf Süssenbrunn und Bf Stadlau. // ÖBB-Line 11601 from station Wien Südbf (Ost) to station Laa an der Thaya, between station Süssenbrunn and station Stadlau.";"Austria";"Final report";"Railway";"Line";"";0;0;0;0;0;0;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"34";"AT-1116";"Train derailment, 2010-01-29, ÖBB-Strecke 11901 von Bf Gramatneusiedl nach Bf Wampersdorf, zwischen Bf Mitterndorf-Moosbrunn und Bf Wampersdorf. // ÖBB-Line 11901 from station Gramatneusiedl to station Wampersdorf, between station Mitterndorf-Moosbrunn and station Wampersdorf. (Austria)";"29/01/2010";"Train derailment";"ÖBB-Strecke 11901 von Bf Gramatneusiedl nach Bf Wampersdorf, zwischen Bf Mitterndorf-Moosbrunn und Bf Wampersdorf. // ÖBB-Line 11901 from station Gramatneusiedl to station Wampersdorf, between station Mitterndorf-Moosbrunn and station Wampersdorf.";"Austria";"Final report";"Railway";"Line";"";0;0;0;0;0;0;0;0;0;6;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"35";"AT-1195";"Level crossing accident, 10/02/2011, Die Pinzgaubahn ist eineeingleisige, nicht elektrisch betriebene Schmalspurbahn mit 760 mm Spurweite zwischen Bf Zell am See und Bf Krimml - Die Ereignisorte waren Piesendorf Bad, Fürth-Kaprun und die Strecke zwischen Fürth-Kaprun und Bruckberg Golfplat (Austria)";"10/02/2011";"Level crossing accident";"Die Pinzgaubahn ist eineeingleisige, nicht elektrisch betriebene Schmalspurbahn mit 760 mm Spurweite zwischen Bf Zell am See und Bf Krimml - Die Ereignisorte waren Piesendorf Bad, Fürth-Kaprun und die Strecke zwischen Fürth-Kaprun und Bruckberg Golfplat";"Austria";"Final report";"Railway";"Line";"";0;0;0;0;0;0;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"36";"AT-1196";"Trains collision, 05/03/2011, ÖBB-Strecke 22201 von Bf Schwarzach-Sankt Veit nach Villach Hbf - im Bf Spittal-Millstättersee. // ÖBB-Line 22201 from station Schwarzach-Sankt Veit to station Villach Hbf - in station Spittal-Millstättersee (Austria)";"05/03/2011";"Trains collision";"ÖBB-Strecke 22201 von Bf Schwarzach-Sankt Veit nach Villach Hbf - im Bf Spittal-Millstättersee. // ÖBB-Line 22201 from station Schwarzach-Sankt Veit to station Villach Hbf - in station Spittal-Millstättersee";"Austria";"Final report";"Railway";"Station";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"37";"AT-1197";"Train derailment, 10.05.2011, Passing point Wasserstelle am Hengst (Austria)";"10/05/2011";"Train derailment";"Passing point Wasserstelle am Hengst";"Austria";"Final report";"Railway";"Station";"Single track";0;0;0;0;0;0;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"38";"AT-1198";"Train derailment, 23/05/2011, ÖBB-Strecke 11801 von Wien Südbf (Ost) nach Staatsgrenze nächst Nickelsdorf (Hegyeshalom - HU) - Bf Gramatneusiedl // ÖBB-line 11801 from station Wien Südbf (Ost) to boarder next Nickelsdorf (Hegyeshalom - HU) - station Gramatneusiedl (Austria)";"23/05/2011";"Train derailment";"ÖBB-Strecke 11801 von Wien Südbf (Ost) nach Staatsgrenze nächst Nickelsdorf (Hegyeshalom - HU) - Bf Gramatneusiedl // ÖBB-line 11801 from station Wien Südbf (Ost) to boarder next Nickelsdorf (Hegyeshalom - HU) - station Gramatneusiedl";"Austria";"Final report";"Railway";"Station";"";0;0;0;0;0;0;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"39";"AT-1199";"Train derailment, 2011-05-24, Derailment, km 60,319 in the station Schärding (Austria)";"24/05/2011";"Train derailment";"Derailment, km 60,319 in the station Schärding";"Austria";"Final report";"Railway";"Station";"Double track";0;0;0;0;0;0;0;0;0;6;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"40";"AT-1200";"Train derailment, 2011-06-15, Station Gramatneusiedl (Austria)";"15/06/2011";"Train derailment";"Station Gramatneusiedl";"Austria";"Final report";"Railway";"Station";"Double track";0;0;0;0;0;0;0;0;0;4;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"41";"AT-1201";"Trains collision with an obstacle, 2011-06-18, ÖBB-Strecke 35101 von Innsbruck Westbf nach Staatsgrenze nächst Scharnitz (Mittenwald (D)) - Bf Martinswand // ÖBB-Line 35101 from station Innsbruck Westbf to Boarder near station Schrnitz (station Mittenwald (D)) - Station Martinswand. (Austria)";"18/06/2011";"Trains collision with an obstacle";"ÖBB-Strecke 35101 von Innsbruck Westbf nach Staatsgrenze nächst Scharnitz (Mittenwald (D)) - Bf Martinswand // ÖBB-Line 35101 from station Innsbruck Westbf to Boarder near station Schrnitz (station Mittenwald (D)) - Station Martinswand.";"Austria";"Final report";"Railway";"Station";"";0;0;0;0;0;0;0;0;0;2;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"42";"AT-1202";"Train derailment, 2011-06-20, Station Sankt Veit an der Glan (Austria)";"20/06/2011";"Train derailment";"Station Sankt Veit an der Glan";"Austria";"Final report";"Railway";"Station";"Double track";0;0;0;0;0;0;0;0;0;7;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"43";"AT-1203";"Other, 2011-07-06, Between Station Braz und Station Bludenz (Arlbergstrecke) (Austria)";"06/07/2011";"Other";"Between Station Braz und Station Bludenz (Arlbergstrecke)";"Austria";"Final report";"Railway";"Line";"Single track";0;0;0;0;0;0;0;0;0;3;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"44";"AT-1351";"Accident to persons caused by RS in motion, 2011-06-20, Station Wien Westbahhof (Austria)";"20/06/2011";"Accident to persons caused by RS in motion";"Station Wien Westbahhof";"Austria";"Final report";"Railway";"Station";"Double track";0;0;0;0;1;0;0;0;0;2;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"45";"AT-1352";"Level crossing accident, 01.10.2011, ÖBB Strecke 11801 von Wien Südbf (Ost) nach Staatsgrenze nächst Nickelsdorf (Hegyeshalom - HU), Bf Parndorf, EK km 48,907.// ÖBB-line 11801 from Wien Südbf (Ost) to boarder next Nickelsdorf (Hegyeshalom - HU), station Parndorf. (Austria)";"01/10/2011";"Level crossing accident";"ÖBB Strecke 11801 von Wien Südbf (Ost) nach Staatsgrenze nächst Nickelsdorf (Hegyeshalom - HU), Bf Parndorf, EK km 48,907.// ÖBB-line 11801 from Wien Südbf (Ost) to boarder next Nickelsdorf (Hegyeshalom - HU), station Parndorf.";"Austria";"Final report";"Railway";"Station";"Double track";1;0;1;0;0;0;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"46";"AT-1353";"Level crossing accident, 2011-10-03, Level crossing km 16,604 between station Munderfing and station Mattighofen (Austria)";"03/10/2011";"Level crossing accident";"Level crossing km 16,604 between station Munderfing and station Mattighofen";"Austria";"Final report";"Railway";"Line";"Single track";1;0;1;0;0;0;0;0;0;2;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"47";"AT-1354";"Level crossing accident, 2011-10-19, Level crossing km 56,756 between station Grafendorf and station Hartberg (Austria)";"19/10/2011";"Level crossing accident";"Level crossing km 56,756 between station Grafendorf and station Hartberg";"Austria";"Final report";"Railway";"Line";"Single track";1;0;1;0;0;0;0;0;0;1;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"48";"AT-1355";"Level crossing accident, 31.10.2011, Eisenbahnlinie von Neusiedl am See nach Staatsgrenze nächst Pamhagen (Fertöszentmiklos - HU), Bf Mönchhof-Halbturn, EK im km 87,650. // Railway-line from Neusiedl am See to Boarder next Pamhagen (Fertöszentmiklos - HU), station Mönchhof-Halbturn, level cr (Austria)";"31/10/2011";"Level crossing accident";"Eisenbahnlinie von Neusiedl am See nach Staatsgrenze nächst Pamhagen (Fertöszentmiklos - HU), Bf Mönchhof-Halbturn, EK im km 87,650. // Railway-line from Neusiedl am See to Boarder next Pamhagen (Fertöszentmiklos - HU), station Mönchhof-Halbturn, level cr";"Austria";"Final report";"Railway";"Station";"Single track";1;0;1;0;0;0;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"49";"AT-1356";"Trains collision, 2011-12-11, Bruck an der Leitha (Austria)";"11/12/2011";"Trains collision";"Bruck an der Leitha";"Austria";"Final report";"Railway";"Station";"Double track";0;0;0;0;0;0;0;0;0;5;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"50";"AT-1358";"Trains collision with an obstacle, 2012-02-02, Between station Seekirchen am Wallersee and station Hallwang-Elixhausen (Austria)";"02/02/2012";"Trains collision with an obstacle";"Between station Seekirchen am Wallersee and station Hallwang-Elixhausen";"Austria";"Final report";"Railway";"Line";"Double track";0;0;0;0;0;0;0;0;0;2;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"51";"AT-159";"Trains collision with an obstacle, 18/10/2006, Line: Salzburg Hbf - Wörgl, between Kirchberg in Tirol and Brixen im Thale (Austria)";"18/10/2006";"Trains collision with an obstacle";"Line: Salzburg Hbf - Wörgl, between Kirchberg in Tirol and Brixen im Thale";"Austria";"Final report";"Railway";"Line";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;2;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"52";"AT-2043";"Trains collision, 2013-01-16, Bahnhof Peggau-Deutschfeistritz (Austria)";"16/01/2013";"Trains collision";"Bahnhof Peggau-Deutschfeistritz";"Austria";"Final report";"Railway";"Station";"Double track";0;0;0;0;0;0;0;0;0;9;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"53";"AT-2044";"Train derailment, 14.02.2013, Bahnhof Ebenfurt (Austria)";"14/02/2013";"Train derailment";"Bahnhof Ebenfurt";"Austria";"Notification";"Railway";"Line";"Double track";0;0;0;0;0;0;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"54";"AT-2173";"Trains collision, 2013-03-27, Station Obereggendorf (Austria)";"27/03/2013";"Trains collision";"Station Obereggendorf";"Austria";"Notification";"Railway";"Station";"Double track";2;0;0;0;1;0;0;0;0;0;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"55";"AT-2268";"Train derailment, 26/04/2012, Station Wien Zvbf (Austria)";"26/04/2012";"Train derailment";"Station Wien Zvbf";"Austria";"Final report";"Railway";"Marshalling yard";"Double track";0;0;0;0;0;0;0;0;0;3;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
"56";"AT-2325";"Train derailment, 22/09/2012, Station Neulengbach (Austria)";"22/09/2012";"Train derailment";"Station Neulengbach";"Austria";"Final report";"Railway";"Station";"Double track";0;0;0;0;0;0;0;0;0;8;"Bundesanstalt für Verkehr Unfalluntersuchung Fachbereich Schiene"
